Region,States,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Frequency,Date,longitude,latitude
South,Andhra Pradesh,5.48,16635535,41.02, M, 31-01-2020,15.9129,79.74
South,Andhra Pradesh,5.83,16545652,40.9, M, 29-02-2020,15.9129,79.74
South,Andhra Pradesh,5.79,15881197,39.18, M, 31-03-2020,15.9129,79.74
South,Andhra Pradesh,20.51,11336911,33.1, M, 30-04-2020,15.9129,79.74
South,Andhra Pradesh,17.43,12988845,36.46, M, 31-05-2020,15.9129,79.74
South,Andhra Pradesh,3.31,19805400,47.41, M, 30-06-2020,15.9129,79.74
South,Andhra Pradesh,8.34,15431615,38.91, M, 31-07-2020,15.9129,79.74
South,Andhra Pradesh,6.96,15251776,37.83, M, 31-08-2020,15.9129,79.74
South,Andhra Pradesh,6.4,15220312,37.47, M, 30-09-2020,15.9129,79.74
South,Andhra Pradesh,6.59,15157557,37.34, M, 31-10-2020,15.9129,79.74
Northeast,Assam,4.66,13051904,52.98, M, 31-01-2020,26.2006,92.9376
Northeast,Assam,4.41,10088268,40.77, M, 29-02-2020,26.2006,92.9376
Northeast,Assam,4.77,11542888,46.73, M, 31-03-2020,26.2006,92.9376
Northeast,Assam,11.06,6830817,29.55, M, 30-04-2020,26.2006,92.9376
Northeast,Assam,9.55,11367897,48.26, M, 31-05-2020,26.2006,92.9376
Northeast,Assam,0.6,9095944,35.07, M, 30-06-2020,26.2006,92.9376
Northeast,Assam,3.77,10286757,40.88, M, 31-07-2020,26.2006,92.9376
Northeast,Assam,5.53,9781310,39.52, M, 31-08-2020,26.2006,92.9376
Northeast,Assam,1.19,14107641,54.38, M, 30-09-2020,26.2006,92.9376
Northeast,Assam,3.02,11949329,46.84, M, 31-10-2020,26.2006,92.9376
East,Bihar,10.61,26397671,37.72, M, 31-01-2020,25.0961,85.3131
East,Bihar,10.29,26281655,37.35, M, 29-02-2020,25.0961,85.3131
East,Bihar,15.43,25717519,38.69, M, 31-03-2020,25.0961,85.3131
East,Bihar,46.64,16046236,38.17, M, 30-04-2020,25.0961,85.3131
East,Bihar,45.96,16280203,38.16, M, 31-05-2020,25.0961,85.3131
East,Bihar,17.82,23963933,36.86, M, 30-06-2020,25.0961,85.3131
East,Bihar,12.79,24989370,36.14, M, 31-07-2020,25.0961,85.3131
East,Bihar,13.44,23795534,34.59, M, 31-08-2020,25.0961,85.3131
East,Bihar,11.91,26902907,38.35, M, 30-09-2020,25.0961,85.3131
East,Bihar,9.82,25693252,35.7, M, 31-10-2020,25.0961,85.3131
West,Chhattisgarh,9.65,8552172,43.08, M, 31-01-2020,21.2787,81.8661
West,Chhattisgarh,8.38,9195114,45.58, M, 29-02-2020,21.2787,81.8661
West,Chhattisgarh,7.54,9302317,45.59, M, 31-03-2020,21.2787,81.8661
West,Chhattisgarh,3.41,7600448,35.58, M, 30-04-2020,21.2787,81.8661
West,Chhattisgarh,10.5,6991217,35.23, M, 31-05-2020,21.2787,81.8661
West,Chhattisgarh,14.23,7332807,38.48, M, 30-06-2020,21.2787,81.8661
West,Chhattisgarh,10.27,8620294,43.14, M, 31-07-2020,21.2787,81.8661
West,Chhattisgarh,5.63,9050422,42.97, M, 31-08-2020,21.2787,81.8661
West,Chhattisgarh,1.96,9021854,41.14, M, 30-09-2020,21.2787,81.8661
West,Chhattisgarh,6.62,8546847,40.82, M, 31-10-2020,21.2787,81.8661
North,Delhi,22.23,5805284,47.79, M, 31-01-2020,28.7041,77.1025
North,Delhi,14.84,5856307,43.92, M, 29-02-2020,28.7041,77.1025
North,Delhi,17.04,5553805,42.65, M, 31-03-2020,28.7041,77.1025
North,Delhi,16.68,3119274,23.8, M, 30-04-2020,28.7041,77.1025
North,Delhi,42.27,2632404,28.91, M, 31-05-2020,28.7041,77.1025
North,Delhi,18.19,4418914,34.17, M, 30-06-2020,28.7041,77.1025
North,Delhi,20.3,4291053,33.97, M, 31-07-2020,28.7041,77.1025
North,Delhi,13.79,4850107,35.41, M, 31-08-2020,28.7041,77.1025
North,Delhi,12.53,4958373,35.59, M, 30-09-2020,28.7041,77.1025
North,Delhi,6.27,4842698,32.36, M, 31-10-2020,28.7041,77.1025
West,Goa,8.89,416750,35.73, M, 31-01-2020,15.2993,74.124
West,Goa,2.81,478068,38.38, M, 29-02-2020,15.2993,74.124
West,Goa,5.25,411761,33.88, M, 31-03-2020,15.2993,74.124
West,Goa,13.31,500614,44.97, M, 30-04-2020,15.2993,74.124
West,Goa,21.25,378244,37.36, M, 31-05-2020,15.2993,74.124
West,Goa,9.96,489111,42.21, M, 30-06-2020,15.2993,74.124
West,Goa,17.07,458876,42.94, M, 31-07-2020,15.2993,74.124
West,Goa,16.21,473016,43.76, M, 31-08-2020,15.2993,74.124
West,Goa,15.38,425004,38.89, M, 30-09-2020,15.2993,74.124
West,Goa,11.54,392304,34.3, M, 31-10-2020,15.2993,74.124
West,Gujarat,5.54,24126346,48.49, M, 31-01-2020,22.2587,71.1924
West,Gujarat,6.38,24757795,50.11, M, 29-02-2020,22.2587,71.1924
West,Gujarat,6.66,23566641,47.75, M, 31-03-2020,22.2587,71.1924
West,Gujarat,18.71,15288878,35.5, M, 30-04-2020,22.2587,71.1924
West,Gujarat,12.11,17836936,38.23, M, 31-05-2020,22.2587,71.1924
West,Gujarat,3.2,23657055,45.96, M, 30-06-2020,22.2587,71.1924
West,Gujarat,1.84,24276120,46.41, M, 31-07-2020,22.2587,71.1924
West,Gujarat,1.87,22817232,43.55, M, 31-08-2020,22.2587,71.1924
West,Gujarat,3.42,25010199,48.41, M, 30-09-2020,22.2587,71.1924
West,Gujarat,4.03,25970259,50.49, M, 31-10-2020,22.2587,71.1924
North,Haryana,20.34,7693231,43.36, M, 31-01-2020,29.0588,76.0856
North,Haryana,25.77,7322942,44.21, M, 29-02-2020,29.0588,76.0856
North,Haryana,25.05,6641555,39.63, M, 31-03-2020,29.0588,76.0856
North,Haryana,43.22,5647630,44.38, M, 30-04-2020,29.0588,76.0856
North,Haryana,29.02,6437868,40.39, M, 31-05-2020,29.0588,76.0856
North,Haryana,26.7,6951934,42.14, M, 30-06-2020,29.0588,76.0856
North,Haryana,24.18,6800652,39.77, M, 31-07-2020,29.0588,76.0856
North,Haryana,33.5,7113788,47.32, M, 31-08-2020,29.0588,76.0856
North,Haryana,19.68,7132439,39.2, M, 30-09-2020,29.0588,76.0856
North,Haryana,27.31,6698551,40.6, M, 31-10-2020,29.0588,76.0856
North,Himachal Pradesh,16.83,2287632,45.5, M, 31-01-2020,31.1048,77.1734
North,Himachal Pradesh,16.84,2180268,43.3, M, 29-02-2020,31.1048,77.1734
North,Himachal Pradesh,18.76,2021858,41.04, M, 31-03-2020,31.1048,77.1734
North,Himachal Pradesh,2.2,1131128,19.04, M, 30-04-2020,31.1048,77.1734
North,Himachal Pradesh,26.95,1897639,42.7, M, 31-05-2020,31.1048,77.1734
North,Himachal Pradesh,13.47,2199683,41.72, M, 30-06-2020,31.1048,77.1734
North,Himachal Pradesh,24.31,2229456,48.25, M, 31-07-2020,31.1048,77.1734
North,Himachal Pradesh,15.79,2029740,39.42, M, 31-08-2020,31.1048,77.1734
North,Himachal Pradesh,12.04,2237480,41.54, M, 30-09-2020,31.1048,77.1734
North,Himachal Pradesh,13.46,2123965,40.01, M, 31-10-2020,31.1048,77.1734
North,Jammu & Kashmir,21.08,3453025,42.2, M, 31-01-2020,33.7782,76.5762
North,Jammu & Kashmir,20.78,3223513,39.17, M, 29-02-2020,33.7782,76.5762
North,Jammu & Kashmir,15.5,3359107,38.18, M, 31-03-2020,33.7782,76.5762
North,Jammu & Kashmir,18.74,3246493,38.21, M, 31-05-2020,33.7782,76.5762
North,Jammu & Kashmir,17.92,3202336,37.24, M, 30-06-2020,33.7782,76.5762
North,Jammu & Kashmir,10.88,3558889,38.03, M, 31-07-2020,33.7782,76.5762
North,Jammu & Kashmir,11.09,3429950,36.66, M, 31-08-2020,33.7782,76.5762
North,Jammu & Kashmir,16.17,3210281,36.31, M, 30-09-2020,33.7782,76.5762
North,Jammu & Kashmir,16.14,3106691,35.05, M, 31-10-2020,33.7782,76.5762
East,Jharkhand,10.61,10198029,42.92, M, 31-01-2020,23.6102,85.2799
East,Jharkhand,11.85,10425425,44.4, M, 29-02-2020,23.6102,85.2799
East,Jharkhand,8.23,9638115,39.34, M, 31-03-2020,23.6102,85.2799
East,Jharkhand,47.09,5335262,37.69, M, 30-04-2020,23.6102,85.2799
East,Jharkhand,59.23,4145385,37.92, M, 31-05-2020,23.6102,85.2799
East,Jharkhand,20.95,8622722,40.59, M, 30-06-2020,23.6102,85.2799
East,Jharkhand,7.63,9521900,38.27, M, 31-07-2020,23.6102,85.2799
East,Jharkhand,9.76,9331640,38.31, M, 31-08-2020,23.6102,85.2799
East,Jharkhand,8.24,10185670,41.04, M, 30-09-2020,23.6102,85.2799
East,Jharkhand,11.8,10302276,43.08, M, 31-10-2020,23.6102,85.2799
South,Karnataka,2.86,22688028,42.18, M, 31-01-2020,15.3173,75.7139
South,Karnataka,3.61,21677719,40.54, M, 29-02-2020,15.3173,75.7139
South,Karnataka,3.46,22079653,41.14, M, 31-03-2020,15.3173,75.7139
South,Karnataka,29.84,16718395,42.78, M, 30-04-2020,15.3173,75.7139
South,Karnataka,19.97,19397853,43.43, M, 31-05-2020,15.3173,75.7139
South,Karnataka,8.44,24215057,47.29, M, 30-06-2020,15.3173,75.7139
South,Karnataka,4.01,22885616,42.55, M, 31-07-2020,15.3173,75.7139
South,Karnataka,0.5,24094289,43.13, M, 31-08-2020,15.3173,75.7139
South,Karnataka,2.41,20127176,36.66, M, 30-09-2020,15.3173,75.7139
South,Karnataka,1.58,22356390,40.3, M, 31-10-2020,15.3173,75.7139
South,Kerala,5.31,9904534,37.12, M, 31-01-2020,10.8505,76.2711
South,Kerala,7.6,9828023,37.71, M, 29-02-2020,10.8505,76.2711
South,Kerala,8.99,8221728,32, M, 31-03-2020,10.8505,76.2711
South,Kerala,16.99,3933276,16.77, M, 30-04-2020,10.8505,76.2711
South,Kerala,17.88,7921962,34.11, M, 31-05-2020,10.8505,76.2711
South,Kerala,9.71,9228268,36.11, M, 30-06-2020,10.8505,76.2711
South,Kerala,7.09,9504420,36.1, M, 31-07-2020,10.8505,76.2711
South,Kerala,10.98,9031944,35.78, M, 31-08-2020,10.8505,76.2711
South,Kerala,5.91,9240913,34.6, M, 30-09-2020,10.8505,76.2711
South,Kerala,3.88,9152881,33.52, M, 31-10-2020,10.8505,76.2711
West,Madhya Pradesh,4.11,23018632,39.42, M, 31-01-2020,22.9734,78.6569
West,Madhya Pradesh,4.57,22711479,39, M, 29-02-2020,22.9734,78.6569
West,Madhya Pradesh,2.22,22867164,38.24, M, 31-03-2020,22.9734,78.6569
West,Madhya Pradesh,12.36,19041832,35.45, M, 30-04-2020,22.9734,78.6569
West,Madhya Pradesh,21.98,18443927,38.48, M, 31-05-2020,22.9734,78.6569
West,Madhya Pradesh,6.48,23054646,40.04, M, 30-06-2020,22.9734,78.6569
West,Madhya Pradesh,5.08,23940158,40.88, M, 31-07-2020,22.9734,78.6569
West,Madhya Pradesh,4.7,23619011,40.08, M, 31-08-2020,22.9734,78.6569
West,Madhya Pradesh,3.91,23341952,39.2, M, 30-09-2020,22.9734,78.6569
West,Madhya Pradesh,3.13,23144552,38.47, M, 31-10-2020,22.9734,78.6569
West,Maharashtra,4.95,42596868,44.19, M, 31-01-2020,19.7515,75.7139
West,Maharashtra,4.69,42416317,43.8, M, 29-02-2020,19.7515,75.7139
